# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
33,12,54,25,35 -> 21 (10000) [6]
33,12,54,25,41 -> 21 (10000) [6]
33,12,54,25,42 -> 21 (10000) [6]
33,12,54,31 -> 15 (10000) [6]
12,33,54,52,24 -> 42 (10000) [6]
12,33,54,52,15 -> 42 (10000) [6]
12,33,54,52,25 -> 42 (10000) [6]
12,33,54,52,35 -> 42 (10000) [6]
12,33,54,52,45 -> 42 (10000) [6]
12,33,54,53 -> 51 (10000) [6]
33,12,54,31,21 -> 25 (10000) [6]
33,12,54,31,25 -> 21 (10000) [6]
33,12,54,31,35 -> 21 (10000) [6]
33,12,54,31,41 -> 21 (10000) [6]
33,12,54,31,42 -> 21 (10000) [6]
33,12,54,35 -> 15 (10000) [6]
33,12,54,35,21 -> 25 (10000) [6]
33,12,54,35,25 -> 21 (10000) [6]
33,12,54,35,31 -> 21 (10000) [6]
33,12,54,35,41 -> 21 (10000) [6]
33,12,54,35,42 -> 21 (10000) [6]
33,12,45 -> 22 (10000) [6]
33,12,45,15 -> 21 (10000) [6]
33,12,45,15,25 -> 31 (10000) [6]
33,12,45,15,31 -> 25 (10000) [6]
33,12,45,15,35 -> 25 (10000) [6]
33,12,45,15,41 -> 25 (10000) [6]
33,12,45,15,42 -> 25 (10000) [6]
33,12,45,21 -> 15 (10000) [6]
33,12,45,21,25 -> 31 (10000) [6]
33,12,45,21,31 -> 25 (10000) [6]
33,12,45,21,35 -> 25 (10000) [6]
33,12,45,21,41 -> 25 (10000) [6]
33,12,45,21,42 -> 25 (10000) [6]
33,12,45,25 -> 15 (10000) [6]
33,12,45,25,21 -> 31 (10000) [6]
33,12,45,25,31 -> 21 (10000) [6]
33,12,45,25,41 -> 21 (10000) [6]
33,12,45,25,42 -> 21 (10000) [6]
33,12,45,25,51 -> 21 (10000) [6]
33,12,45,31 -> 15 (10000) [6]
33,12,45,31,21 -> 25 (10000) [6]
33,12,45,31,25 -> 21 (10000) [6]
33,12,45,31,35 -> 21 (10000) [6]
33,12,45,31,41 -> 21 (10000) [6]
33,12,45,31,42 -> 21 (10000) [6]
33,12,45,35 -> 15 (10000) [6]
33,12,45,35,21 -> 25 (10000) [6]
33,12,45,35,31 -> 21 (10000) [6]
33,12,45,35,41 -> 21 (10000) [6]
33,12,45,35,42 -> 21 (10000) [6]
33,12,45,35,51 -> 21 (10000) [6]
33,12,22 -> 54 (10000) [6]
33,12,22,52 -> 34 (10000) [6]
33,12,22,52,15 -> 21 (10000) [6]
33,12,22,52,25 -> 15 (10000) [6]
33,12,22,52,31 -> 15 (10000) [6]
33,12,22,52,35 -> 15 (10000) [6]
33,12,22,52,41 -> 15 (10000) [6]
33,12,22,42 -> 34 (10000) [6]
33,12,22,42,15 -> 21 (10000) [6]
33,12,22,42,25 -> 15 (10000) [6]
33,12,22,42,31 -> 15 (10000) [6]
33,12,22,42,35 -> 15 (10000) [6]
33,12,22,42,45 -> 15 (10000) [6]
33,12,22,45 -> 34 (10000) [6]
33,12,22,45,15 -> 21 (10000) [6]
33,12,22,45,25 -> 15 (10000) [6]
33,12,22,45,31 -> 15 (10000) [6]
33,12,22,45,35 -> 15 (10000) [6]
33,12,22,45,41 -> 15 (10000) [6]
33,12,22,51 -> 34 (10000) [6]
33,12,22,51,15 -> 21 (10000) [6]
33,12,22,51,25 -> 15 (10000) [6]
33,12,22,51,31 -> 15 (10000) [6]
33,12,22,51,35 -> 15 (10000) [6]
33,12,22,51,41 -> 15 (10000) [6]
33,12,22,41 -> 34 (10000) [6]
33,12,22,41,15 -> 21 (10000) [6]
33,12,22,41,25 -> 15 (10000) [6]
33,12,22,41,31 -> 15 (10000) [6]
33,12,22,41,35 -> 15 (10000) [6]
33,12,22,41,45 -> 15 (10000) [6]
33,12,55 -> 22 (10000) [6]
